"","plant_name_id","ipni_id","taxon_rank","taxon_status","family","genus_hybrid","genus","species_hybrid","species","infraspecific_rank","infraspecies","parenthetical_author","primary_author","publication_author","place_of_publication","volume_and_page","first_published","nomenclatural_remarks","geographic_area","lifeform_description","climate_description","taxon_name","taxon_authors","accepted_plant_name_id","basionym_plant_name_id","homotypic_synonym","parent_plant_name_id"
"997841","631689-az","782000-1","Species","Accepted","Picramniaceae","","Alvaradoa","","arborescens","","","","Griseb.","","Cat. Pl. Cub.",": 50","(1866)","","Cuba","Nanophanerophyte or phanerophyte","Wet Tropical","Alvaradoa arborescens","Griseb.","631689-az","",NA,"631684-az"
"997842","631690-az","10503-2","Species","Accepted","Picramniaceae","","Alvaradoa","","haitiensis","","","","Urb.","","Symb. Antill.","5: 379","(1908)","","Hispaniola","Nanophanerophyte","Wet Tropical","Alvaradoa haitiensis","Urb.","631690-az","",NA,"631684-az"
"997861","903040-az","77115312-1","Species","Accepted","Picramniaceae","","Nothotalisia","","peruviana","","","Standl.","W.W.Thomas","","Brittonia","63: 55","(2011)","","W. South America to N. Brazil","Nanophanerophyte or phanerophyte","Wet Tropical","Nothotalisia peruviana","(Standl.) W.W.Thomas","903040-az","520629-az",NA,"903045-az"
"997862","903046-az","77115311-1","Species","Accepted","Picramniaceae","","Nothotalisia","","piranii","","","","W.W.Thomas","","Brittonia","63: 54","(2011)","","Peru","Phanerophyte","Wet Tropical","Nothotalisia piranii","W.W.Thomas","903046-az","",NA,"903045-az"
"997897","549118-az","813886-1","Species","Accepted","Picramniaceae","","Picramnia","","dictyoneura","","","Urb.","Urb.","","Ark. Bot.","23A(5): 75","(1930)","","Hispaniola","Nanophanerophyte or phanerophyte","Wet Tropical","Picramnia dictyoneura","(Urb.) Urb.","549118-az","514949-az",NA,"549119-az"
"997917","549122-az","907973-1","Species","Accepted","Picramniaceae","","Picramnia","","guianensis","","","Aubl.","Jans.-Jac.","A.A.Pulle","Fl. Suriname","5(1): 329","(1979)","","Guianas to N. Brazil","Phanerophyte","Wet Tropical","Picramnia guianensis","(Aubl.) Jans.-Jac.","549122-az","519756-az",NA,"549119-az"
"997919","549124-az","195965-2","Species","Accepted","Picramniaceae","","Picramnia","","juniniana","","","","J.F.Macbr.","","Candollea","5: 374","(1934)","","S. Venezuela to Ecuador and Peru","Nanophanerophyte or phanerophyte","Wet Tropical","Picramnia juniniana","J.F.Macbr.","549124-az","",NA,"549119-az"
"997923","549120-az","813902-1","Species","Accepted","Picramniaceae","","Picramnia","","latifolia","","","","Tul.","","Ann. Sci. Nat., Bot.",", sér. 3, 7: 258","(1847)","","S. Mexico to S. Trop. America","Phanerophyte","Wet Tropical","Picramnia latifolia","Tul.","549120-az","",NA,"549119-az"
"997931","549036-az","195972-2","Species","Accepted","Picramniaceae","","Picramnia","","magnifolia","","","","J.F.Macbr.","","Candollea","5: 376","(1934)","","Colombia to S. Venezuela and Peru","Nanophanerophyte or phanerophyte","Wet Tropical","Picramnia magnifolia","J.F.Macbr.","549036-az","",NA,"549119-az"
"997947","549030-az","813923-1","Species","Accepted","Picramniaceae","","Picramnia","","pentandra","","","","Sw.","","Fl. Ind. Occid.","1: 220","(1797)","","Caribbean, Colombia to Venezuela","Nanophanerophyte or phanerophyte","Wet Tropical","Picramnia pentandra","Sw.","549030-az","",NA,"549119-az"
"997967","549061-az","813938-1","Species","Accepted","Picramniaceae","","Picramnia","","teapensis","","","","Tul.","","Ann. Sci. Nat., Bot.",", sér. 3, 7: 265","(1847)","","C. Mexico to Venezuela and Ecuador","Nanophanerophyte or phanerophyte","Wet Tropical","Picramnia teapensis","Tul.","549061-az","",NA,"549119-az"
"998135","138892-wcs","352541-1","Species","Accepted","Picrodendraceae","","Oldfieldia","","dactylophylla","","","Welw. ex Oliv.","J.Léonard","","Bull. Jard. Bot. État Bruxelles","26: 340","(1956)","","Tanzania to S. Trop. Africa","Phanerophyte","Seasonally Dry Tropical","Oldfieldia dactylophylla","(Welw. ex Oliv.) J.Léonard","138892-wcs","145634-wcs",NA,"138890-wcs"
"998155","150778-wcs","353413-1","Species","Accepted","Picrodendraceae","","Petalostigma","","pubescens","","","","Domin","","Biblioth. Bot.","22(89): 317","(1927)","","Papua New Guinea, N. Australia to NE. New South Wales","Nanophanerophyte or phanerophyte","Seasonally Dry Tropical","Petalostigma pubescens","Domin","150778-wcs","",NA,"150769-wcs"
"998178","161691-wcs","354975-1","Species","Accepted","Picrodendraceae","","Podocalyx","","loranthoides","","","","Klotzsch","","Arch. Naturgesch.","7: 202","(1841)","","W. & S. Venezuela to Peru","Phanerophyte","Seasonally Dry Tropical","Podocalyx loranthoides","Klotzsch","161691-wcs","",NA,"161690-wcs"
"998210","186621-wcs","942341-1","Species","Accepted","Picrodendraceae","","Scagea","","oligostemon","","","Guillaumin","McPherson","","Bull. Mus. Natl. Hist. Nat., B, Adansonia","7: 248","(1985 publ. 1986)","","New Caledonia","Nanophanerophyte","Seasonally Dry Tropical","Scagea oligostemon","(Guillaumin) McPherson","186621-wcs","19718-wcs",NA,"186619-wcs"
"1002602","510980-az","60443067-2","Species","Accepted","Piperaceae","","Manekia","","incurva","","","Sieber","T.Arias, Callejas & Bornst.","","Novon","16: 206","(2006)","","Guadeloupe to Windward Is.","","Wet Tropical","Manekia incurva","(Sieber) T.Arias, Callejas & Bornst.","510980-az","569032-az",NA,"509403-az"
"1002792","563430-az","677908-1","Species","Accepted","Piperaceae","","Peperomia","","abyssinica","","","","Miq.","","London J. Bot.","4: 419","(1845)","","Cameroon to Eritrea and Malawi, N. Yemen","Semisucculent chamaephyte or epiphyte","Seasonally Dry Tropical","Peperomia abyssinica","Miq.","563430-az","",NA,"562753-az"
"1002948","556939-az","678021-1","Species","Accepted","Piperaceae","","Peperomia","","argyreia","","","Hook.f.","É.Morren","","Ann. Hort. Belge Étrangère","17: 2","(1867)","","Brazil (Bahia, Rio de Janeiro, São Paulo)","Chamaephyte or epiphyte","Wet Tropical","Peperomia argyreia","(Hook.f.) É.Morren","556939-az","576042-az",NA,"562753-az"
"1004603","555630-az","30332765-2","Species","Accepted","Piperaceae","","Peperomia","","nivalis","","","","Miq.","","Syst. Piperac.",": 112","(1843)","","Peru","Succulent chamaephyte or lithophyte","Desert and Dry Shrubland","Peperomia nivalis","Miq.","555630-az","",NA,"562753-az"
"1006066","559296-az","680296-1","Species","Accepted","Piperaceae","","Piper","","aduncum","","","","L.","","Sp. Pl.",": 29","(1753)","","Mexico to Trop. America","Nanophanerophyte or phanerophyte","Wet Tropical","Piper aduncum","L.","559296-az","",NA,"555110-az"
"1006067","559295-az","680297-1","Species","Misapplied","Piperaceae","","Piper","","aduncum","","","","Vell.","","Fl. Flumin.",": 26","(1829)",", sensu auct.","","","","Piper aduncum","Vell.","558107-az","",NA,""
"1006078","559293-az","680300-1","Species","Accepted","Piperaceae","","Piper","","aequale","","","","Vahl","","Eclog. Amer.","1: 4","(1797)","","Mexico, Lesser Antilles to S. Trop. America","Nanophanerophyte","Wet Tropical","Piper aequale","Vahl","559293-az","",NA,"555110-az"
"1006158","559492-az","680359-1","Species","Accepted","Piperaceae","","Piper","","amalago","","","","L.","","Sp. Pl.",": 29","(1753)","","Mexico, Caribbean to S. Trop. America","Nanophanerophyte","Wet Tropical","Piper amalago","L.","559492-az","",NA,"555110-az"
"1006391","559109-az","680520-1","Species","Accepted","Piperaceae","","Piper","","auritum","","","","Kunth","F.W.H.von Humboldt, A.J.A.Bonpland & C.S.Kunth","Nov. Gen. Sp.","1: 54","(1816)","","Mexico to Guianas and Ecuador","Nanophanerophyte or phanerophyte","Wet Tropical","Piper auritum","Kunth","559109-az","",NA,"555110-az"
"1006477","559068-az","197392-2","Species","Accepted","Piperaceae","","Piper","","bellidifolium","","","","Yunck.","","Bol. Inst. Bot. (São Paulo)","3: 84","(1966)","","S. & SE. Colombia to Peru and N. Brazil","Phanerophyte","Wet Tropical","Piper bellidifolium","Yunck.","559068-az","",NA,"555110-az"
"1006495","559050-az","680605-1","Species","Accepted","Piperaceae","","Piper","","betle","","","","L.","","Sp. Pl.",": 28","(1753)","","Indo-China to Malesia","Climbing nanophanerophyte","Wet Tropical","Piper betle","L.","559050-az","",NA,"555110-az"
"1006531","559206-az","680630-1","Species","Accepted","Piperaceae","","Piper","","blattarum","","","","Spreng.","","Neue Entdeck. Pflanzenk.","2: 100","(1821)","","Puerto Rico to St. Thomas","Phanerophyte","Wet Tropical","Piper blattarum","Spreng.","559206-az","",NA,"555110-az"
"1006740","557720-az","680780-1","Species","Accepted","Piperaceae","","Piper","","capense","","","","L.f.","","Suppl. Pl.",": 90","(1782)","","Trop. & S. Africa, Comoros, Madagascar","Scrambling nanophanerophyte or phanerophyte","Wet Tropical","Piper capense","L.f.","557720-az","",NA,"555110-az"
"1006782","557754-az","197532-2","Species","Accepted","Piperaceae","","Piper","","carrilloanum","","","","C.DC.","","Bull. Soc. Roy. Bot. Belgique","30(1): 209","(1891 publ. 1892)","","Costa Rica","Nanophanerophyte or phanerophyte","Wet Tropical","Piper carrilloanum","C.DC.","557754-az","",NA,"555110-az"
"1006897","557872-az","680910-1","Species","Accepted","Piperaceae","","Piper","","cinereum","","","","C.DC.","","J. Bot.","4: 214","(1866)","","Panama to Venezuela and Ecuador","Chamaephyte or nanophanerophyte","Wet Tropical","Piper cinereum","C.DC.","557872-az","",NA,"555110-az"
"1006981","557544-az","77061871-1","Species","Accepted","Piperaceae","","Piper","","confertinodum","","","Trel. & Yunck.","M.A.Jaram. & Callejas","","Taxon","53: 277","(2004)","","Colombia","Nanophanerophyte","Wet Tropical","Piper confertinodum","(Trel. & Yunck.) M.A.Jaram. & Callejas","557544-az","516671-az",NA,"555110-az"
"1007163","557673-az","681128-1","Species","Accepted","Piperaceae","","Piper","","darienense","","","","C.DC.","A.P.de Candolle","Prodr.","16(1): 374","(1869)","","Nicaragua to NW. Venezuela and Bolivia","Chamaephyte or nanophanerophyte","Wet Tropical","Piper darienense","C.DC.","557673-az","",NA,"555110-az"
"1007528","558369-az","681406-1","Species","Accepted","Piperaceae","","Piper","","flagellicuspe","","","","Trel. & Yunck.","","Piperac. N. South Amer.",": 58","(1950)","","NW. Colombia, Ecuador","Nanophanerophyte","Wet Tropical","Piper flagellicuspe","Trel. & Yunck.","558369-az","",NA,"555110-az"
"1007576","558389-az","681448-1","Species","Accepted","Piperaceae","","Piper","","friedrichsthalii","","","","C.DC.","A.P.de Candolle","Prodr.","16(1): 327","(1869)","","Nicaragua to Panama","Nanophanerophyte or phanerophyte","Wet Tropical","Piper friedrichsthalii","C.DC.","558389-az","",NA,"555110-az"
"1007681","558056-az","681517-1","Species","Accepted","Piperaceae","","Piper","","glabrescens","","","Miq.","C.DC.","A.P.de Candolle","Prodr.","16(1): 271","(1869)","","Mexico (Veracruz, Oaxaca, Chiapas) to Trop. America","Nanophanerophyte or phanerophyte","Wet Tropical","Piper glabrescens","(Miq.) C.DC.","558056-az","653530-az",NA,"555110-az"
"1007726","557962-az","681555-1","Species","Accepted","Piperaceae","","Piper","","graeffei","","","","Warb.","","Bot. Jahrb. Syst.","25: 610","(1898)","","Samoa","Liana","Wet Tropical","Piper graeffei","Warb.","557962-az","",NA,"555110-az"
"1007799","558152-az","681613-1","Species","Accepted","Piperaceae","","Piper","","hancei","","","","Maxim.","","Bull. Acad. Imp. Sci. Saint-Pétersbourg",", sér. 3, 31: 94","(1886)","","S. China","Liana","Subtropical","Piper hancei","Maxim.","558152-az","716071-az",NA,"555110-az"
"1007890","558107-az","681674-1","Species","Accepted","Piperaceae","","Piper","","hispidum","","","","Sw.","","Prodr. Veg. Ind. Occ.",": 15","(1788)","","Mexico, Caribbean to S. Trop. America","Nanophanerophyte or phanerophyte","Wet Tropical","Piper hispidum","Sw.","558107-az","",NA,"555110-az"
"1007891","558085-az","681675-1","Species","Illegitimate","Piperaceae","","Piper","","hispidum","","","","Hayata","","J. Coll. Sci. Imp. Univ. Tokyo","30(1): 234","(1911)",", nom. illeg.","","","","Piper hispidum","Hayata","568680-az","",NA,""
"1007892","558092-az","681672-1","Species","Illegitimate","Piperaceae","","Piper","","hispidum","","","","M.Martens & Galeotti","","Bull. Acad. Roy. Sci. Bruxelles","10(1): 131","(1843)",", nom. illeg.","","","","Piper hispidum","M.Martens & Galeotti","569580-az","",NA,""
"1007893","558109-az","681673-1","Species","Illegitimate","Piperaceae","","Piper","","hispidum","","","","Kunth","F.W.H.von Humboldt, A.J.A.Bonpland & C.S.Kunth","Nov. Gen. Sp.","1: 50","(1816)",", nom. illeg.","","","","Piper hispidum","Kunth","558107-az","",NA,""
"1008081","569213-az","681817-1","Species","Accepted","Piperaceae","","Piper","","kadsura","","","Choisy","Ohwi","","Acta Phytotax. Geobot.","3: 81","(1934)","","Temp. E. Asia","Scrambling chamaephyte or nanophanerophyte","Subtropical","Piper kadsura","(Choisy) Ohwi","569213-az","",NA,"555110-az"
"1008163","569004-az","681889-1","Species","Invalid","Piperaceae","","Piper","","lanatum","","","","Wight ex Miq.","","London J. Bot.","5: 553","(1846)",", not validly publ.","","","","Piper lanatum","Wight ex Miq.","558130-az","",NA,""
"1008164","568781-az","681890-1","Species","Accepted","Piperaceae","","Piper","","lanatum","","","","Roxb.","","Fl. Ind.","1: 161","(1820)","","Trop. Asia to SW. Pacific, Australia","Climber","Wet Tropical","Piper lanatum","Roxb.","568781-az","",NA,"555110-az"
"1008254","568725-az","681965-1","Species","Accepted","Piperaceae","","Piper","","leucophyllum","","","Miq.","C.DC.","A.P.de Candolle","Prodr.","16(1): 278","(1869)","","Mexico","Nanophanerophyte","Seasonally Dry Tropical","Piper leucophyllum","(Miq.) C.DC.","568725-az","653570-az",NA,"555110-az"
"1008337","568895-az","682031-1","Species","Accepted","Piperaceae","","Piper","","longum","","","","L.","","Sp. Pl.",": 29","(1753)","","E. Himalaya to China (S. Yunnan) and Indo-China","Climbing hemicryptophyte or chamaephyte","Temperate","Piper longum","L.","568895-az","",NA,"555110-az"
"1008338","568917-az","682030-1","Species","Misapplied","Piperaceae","","Piper","","longum","","","","Blume","","Verh. Batav. Genootsch. Kunsten","11: 197","(1826)",", sensu auct.","","","","Piper longum","Blume","567698-az","",NA,""
"1008530","569555-az","198426-2","Species","Accepted","Piperaceae","","Piper","","melanocladum","","","","C.DC.","","Bot. Gaz.","70: 176","(1920)","","Nicaragua to NW. Colombia","Nanophanerophyte or phanerophyte","Wet Tropical","Piper melanocladum","C.DC.","569555-az","",NA,"555110-az"
"1009211","567978-az","682747-1","Species","Accepted","Piperaceae","","Piper","","phytolaccifolium","","","","Opiz","C.B.Presl","Reliq. Haenk.","1: 151","(1828)","","Mexico (Oaxaca, Tabasco) to S. Trop. America","Nanophanerophyte","Wet Tropical","Piper phytolaccifolium","Opiz","567978-az","",NA,"555110-az"
"1009616","567698-az","683079-1","Species","Accepted","Piperaceae","","Piper","","retrofractum","","","","Vahl","","Enum. Pl.","1: 314","(1804)","","Bangladesh to China (Yunnan) and W. & C. Malesia","Climber","Wet Tropical","Piper retrofractum","Vahl","567698-az","",NA,"555110-az"
"1009788","568507-az","199077-2","Species","Accepted","Piperaceae","","Piper","","sancti-felicis","","","","Trel.","","Contr. U.S. Natl. Herb.","26: 35","(1927)","","Costa Rica to Panama","Nanophanerophyte","Wet Tropical","Piper sancti-felicis","Trel.","568507-az","",NA,"555110-az"
"1009837","568548-az","683277-1","Species","Accepted","Piperaceae","","Piper","","sarmentosum","","","","Roxb.","","Asiat. Res.","11: 565","(1810)","","S. China to Indo-China and N. Australia","Scrambling chamaephyte","Wet Tropical","Piper sarmentosum","Roxb.","568548-az","",NA,"555110-az"
"1009838","568558-az","683276-1","Species","Invalid","Piperaceae","","Piper","","sarmentosum","","","","Wall.","","Numer. List",": n.° 6641","(1832)",", nom. nud.","","","","Piper sarmentosum","Wall.","568895-az","",NA,""
"1010510","571246-az","316339-2","Species","Accepted","Piperaceae","","Piper","","umbellatum","","","","L.","","Sp. Pl.",": 30","(1753)","","Mexico to Trop. America","Chamaephyte or nanophanerophyte","Seasonally Dry Tropical","Piper umbellatum","L.","571246-az","",NA,"555110-az"
"1010672","570866-az","683970-1","Species","Accepted","Piperaceae","","Piper","","wallichii","","","Miq.","Hand.-Mazz.","","Symb. Sin.","7: 155","(1929)","","Nepal to C. & S. China and Indo-China","Liana","Temperate","Piper wallichii","(Miq.) Hand.-Mazz.","570866-az","716119-az",NA,"555110-az"
"1010980","471107-az","684239-1","Species","Accepted","Piperaceae","","Zippelia","","begoniifolia","","","","Blume","J.J.Roemer & J.A.Schultes","Syst. Veg., ed. 15 bis","7: 1651","(1830)","","China (S. & SE. Yunnan, S. Guangxi) to W. & C. Malesia","Chamaephyte","Wet Tropical","Zippelia begoniifolia","Blume","471107-az","",NA,"471009-az"
"1010986","666343-az","1018123-1","Species","Accepted","Pittosporaceae","","Auranticarpa","","papyracea","","","","L.W.Cayzer, Crisp & I.Telford","","Austral. Syst. Bot.","13: 909","(2000)","","NE. Queensland","Phanerophyte","Wet Tropical","Auranticarpa papyracea","L.W.Cayzer, Crisp & I.Telford","666343-az","",NA,"666339-az"
"1011263","570945-az","684414-1","Species","Accepted","Pittosporaceae","","Pittosporum","","coccineum","","","Montrouz.","Beauvis.","","Ann. Soc. Bot. Lyon","26: 7","(1901)","","NW. & WC. New Caledonia","Nanophanerophyte or phanerophyte","Wet Tropical","Pittosporum coccineum","(Montrouz.) Beauvis.","570945-az","868634-az",NA,"571000-az"
"1011556","571687-az","684629-1","Species","Accepted","Pittosporaceae","","Pittosporum","","pentandrum","","","Blanco","Merr.","","Rev. Blancos Fl. Filip.",": 19","(1905)","","N. Borneo, Philippines to N. Sulawesi","Phanerophyte","Wet Tropical","Pittosporum pentandrum","(Blanco) Merr.","571687-az","644561-az",NA,"571000-az"
"1012862","670718-az","29788-2","Species","Accepted","Plantaginaceae","","Basistemon","","silvaticus","","","Herzog","Baehni & J.F.Macbr.","","Candollea","5: 345","(1934)","","S. Bolivia","Nanophanerophyte","Wet Tropical","Basistemon silvaticus","(Herzog) Baehni & J.F.Macbr.","670718-az","586180-az",NA,"670709-az"
"1018154","550457-az","187748-2","Species","Accepted","Plantaginaceae","","Penstemon","","rupicola","","","Piper","Howell","","Fl. N.W. Amer.",": 510","(1901)","","Washington to N. California","Chamaephyte","Temperate","Penstemon rupicola","(Piper) Howell","550457-az","553504-az",NA,"550046-az"
"1023397","570459-az","685871-1","Species","Accepted","Platanaceae","","Platanus","","occidentalis","","","","L.","","Sp. Pl.",": 999","(1753)","","SE. Canada to C. & E. U.S.A.","Phanerophyte","Temperate","Platanus occidentalis","L.","570459-az","",NA,"570308-az"
"1023398","570458-az","685870-1","Species","Misapplied","Platanaceae","","Platanus","","occidentalis","","","","Hook. & Arn.","","Bot. Beechey Voy.",": 160","(1833)",", sensu auct.","","","","Platanus occidentalis","Hook. & Arn.","570467-az","",NA,""
"1023410","570462-az","685873-1","Species","Accepted","Platanaceae","","Platanus","","orientalis","","","","L.","","Sp. Pl.",": 999","(1753)","","E. Medit. to Iran","Phanerophyte","Temperate","Platanus orientalis","L.","570462-az","",NA,"570308-az"
"1023439","570467-az","685878-1","Species","Accepted","Platanaceae","","Platanus","","racemosa","","","","Nutt.","","N. Amer. Sylv.","1: 47","(1842)","","California to Mexico (Baja California Norte)","Phanerophyte","Temperate","Platanus racemosa","Nutt.","570467-az","",NA,"570308-az"
"1023455","570450-az","201701-2","Species","Accepted","Platanaceae","","Platanus","","wrightii","","","","S.Watson","","Proc. Amer. Acad. Arts","10: 349","(1875)","","Arizona to SW. New Mexico and Mexico (Sonora, Sinaloa, Chihuahua)","Phanerophyte","Temperate","Platanus wrightii","S.Watson","570450-az","",NA,"570308-az"
"1023460","537486-az","546874-1","Species","Accepted","Plocospermataceae","","Plocosperma","","buxifolium","","","","Benth.","","Hooker's Icon. Pl.","12: t. 1195","(1876)","","C. & S. Mexico to C. America","Nanophanerophyte or phanerophyte","Seasonally Dry Tropical","Plocosperma buxifolium","Benth.","537486-az","",NA,"537488-az"
"1023948","623410-az","686194-1","Species","Illegitimate","Plumbaginaceae","","Aegialitis","","annulata","","","","Kurz","","J. Asiat. Soc. Bengal, Pt. 2, Nat. Hist.","46: 217","(1877)",", nom. illeg.","","","","Aegialitis annulata","Kurz","623411-az","",NA,""
"1023949","623409-az","686195-1","Species","Accepted","Plumbaginaceae","","Aegialitis","","annulata","","","","R.Br.","","Prodr. Fl. Nov. Holland.",": 426","(1810)","","Lesser Sunda Is. to New Guinea and N. Australia","Nanophanerophyte or phanerophyte","Seasonally Dry Tropical","Aegialitis annulata","R.Br.","623409-az","",NA,"623408-az"
"1024933","495505-az","686612-1","Species","Accepted","Plumbaginaceae","","Limoniastrum","","monopetalum","","","L.","Boiss.","A.P.de Candolle","Prodr.","12: 689","(1848)","","Medit.","Chamaephyte or nanophanerophyte","Subtropical","Limoniastrum monopetalum","(L.) Boiss.","495505-az","599712-az",NA,"495504-az"
"1026051","570524-az","687056-1","Species","Accepted","Plumbaginaceae","","Plumbago","","auriculata","","","","Lam.","","Encycl.","2: 270","(1786)","","Mozambique to S. Africa","Scrambling nanophanerophyte","Subtropical","Plumbago auriculata","Lam.","570524-az","",NA,"570523-az"
"1026074","570405-az","687077-1","Species","Accepted","Plumbaginaceae","","Plumbago","","indica","","","","L.","","Herb. Amb.",": 24","(1754)","","Indian Subcontinent to China (S. & SE. Yunnan) and Malesia","Scrambling chamaephyte","Seasonally Dry Tropical","Plumbago indica","L.","570405-az","",NA,"570523-az"
"1101697","696601-az","688721-1","Species","Accepted","Polemoniaceae","","Cantua","","buxifolia","","","","Juss. ex Lam.","","Encycl.","1: 603","(1785)","","Peru to N. Chile","Nanophanerophyte","Subtropical","Cantua buxifolia","Juss. ex Lam.","696601-az","",NA,"696595-az"
"1101737","696639-az","688755-1","Species","Accepted","Polemoniaceae","","Cantua","","quercifolia","","","","Juss.","","Ann. Mus. Natl. Hist. Nat.","3: 118","(1804)","","Ecuador to Peru","Nanophanerophyte","Subtropical","Cantua quercifolia","Juss.","696639-az","",NA,"696595-az"
"1101768","729046-az","61922-2","Species","Accepted","Polemoniaceae","","Cobaea","","scandens","","","","Cav.","","Icon.","1: 11","(1791)","","Mexico","Climber","Seasonally Dry Tropical","Cobaea scandens","Cav.","729046-az","",NA,"729024-az"
"1101883","731259-az","63359-2","Species","Accepted","Polemoniaceae","","Collomia","","rawsoniana","","","","Greene","","Pittonia","1: 221","(1888)","","SC. California","Chamaephyte","Subtropical","Collomia rawsoniana","Greene","731259-az","",NA,"731160-az"
"1103156","495139-az","142905-2","Species","Accepted","Polemoniaceae","","Loeselia","","ciliata","","","","L.","","Sp. Pl.",": 628","(1753)","","Mexico to C. America","Chamaephyte","Seasonally Dry Tropical","Loeselia ciliata","L.","495139-az","",NA,"495154-az"
"1103594","567395-az","193412-2","Species","Accepted","Polemoniaceae","","Phlox","","colubrina","","","","Wherry & Constance","","Amer. Midl. Naturalist","19: 433","(1938)","","NW. U.S.A.","Chamaephyte","Temperate","Phlox colubrina","Wherry & Constance","567395-az","",NA,"567174-az"
"1104478","666003-az","690076-1","Species","Accepted","Polygalaceae","","Atroxima","","afzeliana","","","Oliv. ex Chodat","Stapf","","J. Linn. Soc., Bot.","37: 86","(1905)","","W. Trop. Africa to NE. Angola","Liana","Wet Tropical","Atroxima afzeliana","(Oliv. ex Chodat) Stapf","666003-az","701321-az",NA,"666002-az"
"1104481","666006-az","690079-1","Species","Accepted","Polygalaceae","","Atroxima","","liberica","","","","Stapf","","J. Linn. Soc., Bot.","37: 85","(1905)","","W. & WC. Trop. Africa","Climber","Wet Tropical","Atroxima liberica","Stapf","666006-az","",NA,"666002-az"
"1104493","667738-az","28610-2","Species","Accepted","Polygalaceae","","Badiera","","fuertesii","","","","Urb.","","Symb. Antill.","7: 244","(1912)","","Hispaniola","Nanophanerophyte or phanerophyte","Wet Tropical","Badiera fuertesii","Urb.","667738-az","",NA,"667729-az"
"1104544","683195-az","690122-1","Species","Accepted","Polygalaceae","","Bredemeyera","","floribunda","","","","Willd.","","Neue Schriften Ges. Naturf. Freunde Berlin","3: 412","(1801)","","S. Trop. America to Paraguay","Nanophanerophyte or phanerophyte","Wet Tropical","Bredemeyera floribunda","Willd.","683195-az","",NA,"683169-az"
"1104611","701322-az","690159-1","Species","Accepted","Polygalaceae","","Carpolobia","","alba","","","","G.Don","","Gen. Hist.","1: 370","(1831)","","W. Trop. Africa to N. Angola","Nanophanerophyte or phanerophyte","Wet Tropical","Carpolobia alba","G.Don","701322-az","",NA,"701320-az"
"1104620","701330-az","690165-1","Species","Accepted","Polygalaceae","","Carpolobia","","goetzei","","","","Gürke","","Bot. Jahrb. Syst.","28: 417","(1900)","","South Sudan to Mozambique, N. Madagascar","Nanophanerophyte or phanerophyte","Seasonally Dry Tropical","Carpolobia goetzei","Gürke","701330-az","",NA,"701320-az"
"1104623","701333-az","690168-1","Species","Accepted","Polygalaceae","","Carpolobia","","lutea","","","","G.Don","","Gen. Hist.","1: 370","(1831)","","W. & WC. Trop. Africa","Nanophanerophyte or phanerophyte","Wet Tropical","Carpolobia lutea","G.Don","701333-az","",NA,"701320-az"
"1104877","904004-az","60456671-2","Species","Accepted","Polygalaceae","","Hebecarpa","","obscura","","","Benth.","J.R.Abbott","","J. Bot. Res. Inst. Texas","5: 134","(2011)","","Arizona to W. Texas and Mexico","Chamaephyte","Seasonally Dry Tropical","Hebecarpa obscura","(Benth.) J.R.Abbott","904004-az","573368-az",NA,"904007-az"
"1105207","509353-az","163646-2","Species","Accepted","Polygalaceae","","Monnina","","polystachya","","","","Ruiz & Pav.","","Syst. Veg. Fl. Peruv. Chil.",": 171","(1798)","","Colombia to Peru","Nanophanerophyte","Wet Tropical","Monnina polystachya","Ruiz & Pav.","509353-az","",NA,"509453-az"
"1105775","566570-az","691079-1","Species","Accepted","Polygalaceae","","Polygala","","arillata","","","","Buch.-Ham. ex D.Don","","Prodr. Fl. Nepal.",": 199","(1825)","","Indian Subcontinent to C. & S. China and Philippines (Palawan)","Nanophanerophyte or phanerophyte","Subtropical","Polygala arillata","Buch.-Ham. ex D.Don","566570-az","",NA,"565888-az"
"1106332","571650-az","691467-1","Species","Accepted","Polygalaceae","","Polygala","","fruticosa","","","","P.J.Bergius","","Descr. Pl. Cap.",": 183","(1767)","","S. Africa","Chamaephyte or nanophanerophyte","Subtropical","Polygala fruticosa","P.J.Bergius","571650-az","",NA,"565888-az"
"1106906","572848-az","691900-1","Species","Illegitimate","Polygalaceae","","Polygala","","myrtifolia","","","","Fr.","","Novit. Fl. Suec. Alt.",": 227","(1828)",", nom. illeg.","","","","Polygala myrtifolia","Fr.","1260795-az","",NA,""
"1106907","572832-az","691901-1","Species","Accepted","Polygalaceae","","Polygala","","myrtifolia","","","","L.","","Sp. Pl.",": 703","(1753)","","S. Africa","Nanophanerophyte","Subtropical","Polygala myrtifolia","L.","572832-az","",NA,"565888-az"
"1108296","588369-az","692773-1","Species","Accepted","Polygalaceae","","Securidaca","","sylvestris","","","","Schltdl.","","Linnaea","14: 381","(1840)","","C. Mexico to C. America","Nanophanerophyte or phanerophyte","Wet Tropical","Securidaca sylvestris","Schltdl.","588369-az","",NA,"599228-az"
"1108304","588428-az","231608-2","Species","Accepted","Polygalaceae","","Securidaca","","virgata","","","","Sw.","","Prodr. Veg. Ind. Occ.",": 104","(1788)","","Greater Antilles to St. Croix","Climbing nanophanerophyte","Seasonally Dry Tropical","Securidaca virgata","Sw.","588428-az","",NA,"599228-az"
