"","(Intercept)","abs_lat","ai","bio_1","bio_12","bio_15","bio_4","srad","wind","df","logLik","AICc","delta","weight"
"137",-0.134,NA,NA,NA,-0.161,NA,NA,NA,0.1,5,-2109.25,4228.539,52.517,0
"123",-0.124,NA,0.079,NA,-0.258,-0.006,0,0.135,NA,8,-2106.369,4228.829,52.807,0
"210",-0.151,0.178,NA,NA,NA,0.059,NA,0.095,0.025,7,-2107.495,4229.061,53.038,0
"12",-0.125,0.107,-0.154,NA,0.014,NA,NA,NA,NA,6,-2108.575,4229.203,53.181,0
"138",-0.138,0.043,NA,NA,-0.144,NA,NA,NA,0.083,6,-2108.627,4229.308,53.285,0
"66",-0.155,0.194,NA,NA,NA,NA,NA,0.123,NA,5,-2110.348,4230.733,54.711,0
"30",-0.139,0.07,NA,-0.077,-0.096,0.057,NA,NA,NA,7,-2108.334,4230.738,54.716,0
"29",-0.135,NA,NA,-0.118,-0.114,0.051,NA,NA,NA,6,-2109.667,4231.388,55.366,0
"149",-0.158,NA,NA,-0.147,NA,0.094,NA,NA,0.102,6,-2109.871,4231.795,55.773,0
"26",-0.133,0.115,NA,NA,-0.106,0.053,NA,NA,NA,6,-2109.961,4231.974,55.952,0
"150",-0.158,0.056,NA,-0.112,NA,0.092,NA,NA,0.084,7,-2109.108,4232.287,56.265,0
"194",-0.155,0.192,NA,NA,NA,NA,NA,0.122,0.003,6,-2110.343,4232.74,56.718,0
"34",-0.155,0.368,NA,NA,NA,NA,-0.234,NA,NA,5,-2111.639,4233.316,57.294,0
"67",-0.11,NA,-0.166,NA,NA,NA,NA,0.056,NA,5,-2111.677,4233.393,57.371,0
"13",-0.136,NA,NA,-0.102,-0.137,NA,NA,NA,NA,5,-2111.843,4233.723,57.701,0
"14",-0.139,0.056,NA,-0.068,-0.125,NA,NA,NA,NA,6,-2110.964,4233.982,57.96,0
"162",-0.157,0.338,NA,NA,NA,NA,-0.223,NA,0.036,6,-2110.981,4234.016,57.994,0
"10",-0.134,0.097,NA,NA,-0.132,NA,NA,NA,NA,5,-2112.242,4234.523,58.501,0
"99",-0.112,NA,-0.16,NA,NA,NA,0.016,0.061,NA,6,-2111.559,4235.172,59.15,0
"83",-0.109,NA,-0.163,NA,NA,0.01,NA,0.053,NA,6,-2111.6,4235.253,59.231,0
"3",-0.108,NA,-0.18,NA,NA,NA,NA,NA,NA,4,-2114.057,4236.14,60.118,0
"115",-0.112,NA,-0.155,NA,NA,0.011,0.018,0.058,NA,7,-2111.458,4236.987,60.965,0
"146",-0.15,0.136,NA,NA,NA,0.09,NA,NA,0.074,6,-2112.623,4237.3,61.278,0
"19",-0.107,NA,-0.172,NA,NA,0.022,NA,NA,NA,5,-2113.64,4237.319,61.296,0
"11",-0.11,NA,-0.134,NA,-0.052,NA,NA,NA,NA,5,-2113.649,4237.335,61.313,0
"22",-0.151,0.113,NA,-0.098,NA,0.085,NA,NA,NA,6,-2112.829,4237.71,61.688,0
"35",-0.106,NA,-0.184,NA,NA,NA,-0.011,NA,NA,5,-2113.998,4238.034,62.012,0
"27",-0.109,NA,-0.124,NA,-0.054,0.023,NA,NA,NA,6,-2113.205,4238.463,62.441,0
"43",-0.107,NA,-0.129,NA,-0.067,NA,-0.023,NA,NA,6,-2113.405,4238.863,62.841,0
"51",-0.106,NA,-0.174,NA,NA,0.021,-0.005,NA,NA,6,-2113.625,4239.303,63.281,0
"59",-0.107,NA,-0.121,NA,-0.065,0.021,-0.018,NA,NA,7,-2113.065,4240.201,64.179,0
"9",-0.118,NA,NA,NA,-0.175,NA,NA,NA,NA,4,-2116.454,4240.933,64.91,0
"25",-0.116,NA,NA,NA,-0.164,0.033,NA,NA,NA,5,-2115.51,4241.059,65.037,0
"18",-0.145,0.177,NA,NA,NA,0.083,NA,NA,NA,5,-2115.534,4241.106,65.083,0
"165",-0.167,NA,NA,-0.214,NA,NA,-0.106,NA,0.105,6,-2114.529,4241.112,65.09,0
"53",-0.149,NA,NA,-0.233,NA,0.084,-0.076,NA,NA,6,-2114.791,4241.635,65.613,0
"41",-0.114,NA,NA,NA,-0.189,NA,-0.033,NA,NA,5,-2115.93,4241.897,65.875,0
"57",-0.113,NA,NA,NA,-0.176,0.029,-0.025,NA,NA,6,-2115.229,4242.511,66.488,0
"21",-0.148,NA,NA,-0.18,NA,0.084,NA,NA,NA,5,-2116.752,4243.542,67.519,0
"133",-0.165,NA,NA,-0.145,NA,NA,NA,NA,0.09,5,-2118.151,4246.339,70.317,0
"134",-0.165,0.064,NA,-0.105,NA,NA,NA,NA,0.07,6,-2117.161,4246.376,70.354,0
"6",-0.159,0.111,NA,-0.093,NA,NA,NA,NA,NA,5,-2119.735,4249.508,73.486,0
"130",-0.157,0.138,NA,NA,NA,NA,NA,NA,0.061,5,-2120.203,4250.444,74.422,0
"241",-0.143,NA,NA,NA,NA,0.073,0.048,0.057,0.105,7,-2118.611,4251.293,75.271,0
"209",-0.141,NA,NA,NA,NA,0.078,NA,0.041,0.124,6,-2119.66,4251.373,75.351,0
"145",-0.141,NA,NA,NA,NA,0.091,NA,NA,0.137,5,-2120.768,4251.574,75.551,0
