"sp","lma","se","bio_1","bio_1_se","bio_2","bio_2_se","bio_3","bio_3_se","bio_4","bio_4_se","bio_5","bio_5_se","bio_6","bio_6_se","bio_7","bio_7_se","bio_8","bio_8_se","bio_9","bio_9_se","bio_10","bio_10_se","bio_11","bio_11_se","bio_12","bio_12_se","bio_13","bio_13_se","bio_14","bio_14_se","bio_15","bio_15_se","bio_16","bio_16_se","bio_17","bio_17_se","bio_18","bio_18_se","bio_19","bio_19_se","alt","alt_se","ai","ai_se","wind","wind_se","srad","srad_se","et0","et0_se"
"Artabotrys_brachypetalus",-1.5384057811153,0.0199496033020152,-0.388529847310531,3.07049333448367,0.504474024403064,1.16531180815674,0.0808815546016675,0.642323366102647,-0.218434556822367,27.0682517229247,-0.875804618793644,3.46058062489053,-0.29353442635968,1.77059551226364,-0.0908801738236875,1.68998511262691,-0.283820859928293,3.41179008435519,-0.45491120436487,2.40864114182982,-0.897213193289959,3.38562734384836,-0.225916086753361,2.72683939566864,-0.562032145897103,253.497781055377,-0.0505596541357518,47.3761543394987,-0.853050318809243,4.59619407771256,1.68416564918923,2.06250087612743,0.109193131485196,130.461201128918,-0.925595039701412,16.6170093578839,0.232954865034558,14.8492424049175,-1.02725310407564,19.0918830920368,1.15670156030774,618.364880147636,-0.540898494725053,2983.99061660723,-0.650530389115991,0.0152027897263673,0.647199153333367,744.84860563238,0.203006126427086,212.485587746558
"Artabotrys_thomsonii",-0.993144410141538,0.025065380736707,0.682235572298866,0.371627516726396,-0.155211144832822,0.208644952426118,1.04143261734012,1.34326508395704,-0.8196453218556,5.0490599413005,0.36613726401173,0.316785376001247,0.816183909857569,0.427209371864029,-0.781994080473219,0.146822244993024,0.401383426276438,0.385305829974974,0.711541201018025,0.331216567775423,0.390994541031622,0.39221814632139,0.783079017556967,0.328734837350793,0.0972282309055932,101.8354947943,0.0213686638595492,21.2205560718846,-0.464935364202559,4.7019145036889,-0.152112730955694,4.02365687673625,0.0170598359036641,62.7188328973045,-0.392818728024042,15.5181184426463,-0.243500274804333,19.6956848065763,0.692422241905859,88.6252108601159,-0.0458959743577388,82.3550119907708,0.178001048717372,858.118931151155,-1.0954053167692,0.0641653007745305,-0.640365152809242,358.310122094505,-0.302003345958926,37.3592291141024
"Artabotrys_hexapetalus",-0.917554714896368,0.0235786621985837,0.556139012119639,0.465919816749808,-1.22662269470232,0.168374048664093,-1.23703792420588,1.78055847696596,0.551284138050759,43.6631119782886,0.737315520372002,0.284198124310485,0.207877975375274,1.19232209130813,0.12290915565935,1.39609010195251,0.887064643179329,0.244269777887802,-0.0413188106566013,0.682614334519849,1.14753732900158,0.178722086482397,0.130695488034172,0.993831538042634,-0.438720614468874,80.4551865142145,-0.206683135055785,8.56565060987024,-0.737139301537498,4.4388854123196,0.791241573207635,2.84073436157176,-0.140002460370274,22.0260788191668,-0.792571504775564,13.8924439894498,0.442962640170157,33.6408041476969,-0.926333189405362,21.0008818157009,-0.750323148395917,49.9792549556906,-0.484162735616995,1060.9003164678,-0.319202370388931,0.0821854502136473,-0.0898992554777501,852.707627122714,0.106638777295407,68.8850357345349
"Artabotrys_pierreanus",-0.918260720433451,0.0200378335941296,0.644510200809518,0.184314610658952,-0.827782324505318,0.106854644461062,0.561706215294438,1.10511667280876,-0.67336336680576,4.51072893724632,0.195266838239895,0.214341294776534,0.797438191655608,0.141113487263989,-0.845276301463903,0.122716528287154,0.423908598816374,0.301266807030747,0.557062931791899,0.0953023119693712,0.396058265873208,0.197479584553893,0.679091168688389,0.179329502205223,0.192269373372996,56.0326706947401,0.465205416760785,8.55223600824607,-0.939048815494732,1.45169122316263,0.456933747632783,1.19154342200472,0.192612551360054,28.5459992656427,-0.852830029143684,8.11748227706834,0.327458363845577,15.4686062002295,-0.392644934766669,74.365943270549,-0.193099012699549,55.1449017152555,0.736282056470235,252.06825391078,-1.27175071964053,0.0471659609277121,-1.66933269496865,167.398372552439,-1.16117675232136,14.9717017019393
"Artabotrys_aurantiacus",-1.22122609991066,0.0291018116929693,0.563664467353032,0.382367518378031,0.0132673963518561,0.115738517723782,0.854425294025381,1.47894904538194,-0.737766971875343,9.20116242818533,0.395574475218516,0.190963081998928,0.711522711577917,0.438758431162332,-0.643517504206889,0.308808963021792,0.210444200064806,0.559711496402328,0.656935154764963,0.255048976760052,0.274837455752239,0.278953402453931,0.667086110633624,0.504276037996672,0.271180263880768,37.1355355421192,0.268935897889887,14.0131366938313,-0.595054828752777,4.82907858705985,0.0736407661811697,3.38625537063148,0.274650503135075,44.2950561575443,-0.571547785206463,14.1983097585593,-0.36005459000459,46.2723675642386,0.760810325258893,97.482511252019,0.357893799328816,135.468225056653,0.360192830422848,301.002671084494,-1.21013609250547,0.0632790447509163,-0.809902524980844,260.249967603016,-0.413633500675623,27.5575760907958
"Artabotrys_velutinus",-1.22614768382965,0.0429900213376777,0.579384439840882,0.206434700322774,1.02897760703875,0.516792625293011,0.918999780882133,2.71762631515876,-0.822443222626175,8.59381667604978,0.709232093551064,0.371813420657229,0.556748772775515,0.770570103483887,-0.303654150899899,1.14238352414112,0.236351134282784,0.314335489156919,0.641312476468536,0.310870720943707,0.247772355965447,0.0971232637247438,0.72230496155855,0.288547027368783,-0.11017285087008,9.43005439676389,-0.106318040178621,21.1695098702863,-0.467926616261184,9.04515421730414,-0.04264280945738,7.58399476528643,-0.125125111602783,45.6106712659804,-0.358255348009121,29.8297639081307,-0.635952304588984,23.8638111265045,1.21198170849071,52.1539743167962,0.0765255690890159,15.2035570886601,-0.257105886227675,41.2611376658652,-0.793283169125071,0.0422748569244121,0.0508871699129829,161.882663124294,0.214703897130931,4.09606857581484
"Artabotrys_monteiroae",-0.74328201403331,0.0157327633775128,-0.159515848625808,0.496981236512567,0.897739919840102,0.30537994910492,0.00980268227546627,0.410405209164054,-0.188125546090686,7.41998160710966,-0.206566870706083,0.61980414656615,-0.204671113130595,0.507819478910279,0.138712846189564,0.615992685150143,-0.0643945207788851,0.576810061389741,-0.251221101106272,0.467889779502763,-0.468930915102874,0.543414466793252,-0.0612650934493126,0.435202519373335,-0.485243656962966,69.1815582362814,-0.0706326731111844,9.95650541103655,-0.639923609632162,4.822862220715,1.38444909148543,3.36300875708931,0.0814575027115166,26.8676013071506,-0.732540371065438,16.2070355093089,0.225079573466973,64.0153106686205,-0.876229420004354,20.4692940767385,0.799646714131201,108.572132704484,-0.520753601320587,664.593213928641,-0.171978272365233,0.0903530239669296,0.288848578765327,36.3422306099668,0.0997315222131358,42.6409662179459
"Fusaea_peruviana",-1.63498570862981,0.0951469286237346,1.05738992326815,NA,0.119489851148898,NA,1.18868180350478,NA,-0.923640740091723,NA,0.852356860964049,NA,0.98704187996147,NA,-0.740877669366906,NA,0.867002022109774,NA,0.954251372695921,NA,0.860466956052643,NA,1.07552647021452,NA,0.708225195923815,NA,-0.0421958962293215,NA,0.975352502025716,NA,-1.11558576403952,NA,0.062967083529064,NA,1.08340142366588,NA,0.544028881954164,NA,0.00925378424378173,NA,-0.760868465372537,NA,1.15041895407193,NA,-1.71745011563687,NA,-1.28308637212745,NA,-0.901597650036031,NA
"Fusaea_longifolia",-0.530764577922485,0.0887108170630679,0.948721474376163,0.166987360224156,0.336176526963962,0.605414820233506,0.713195249400516,1.09355273608544,-0.883957406222172,2.38750267970732,0.974842660409529,0.333403162950361,0.81289272303994,0.701060009237094,-0.473704398962438,1.01610936538938,0.728803593150531,0.171271997239791,0.926840531801888,0.316896714994341,0.724483557070195,0.205732084908248,0.993887829498998,0.170744345563293,0.3355314795934,67.4102970483601,0.353688644675047,9.71444133084195,-0.624967349339034,4.33760473243181,0.366397201420961,1.35800246960177,0.51991422424485,31.3711355890753,-0.581098192842165,13.0128141972954,-0.729143254805406,47.1667648212563,-0.340997684317763,53.7342569537383,-0.797777074790705,9.33531724946443,0.54123510126174,591.178891268524,-1.26398146965937,0.041681477761165,-0.897941924719909,163.303354062386,-0.617508932942643,6.76592771006148
"Duguetia_odorata",0.092549630527101,0.0509025173670055,0.943480915975101,0.0495525227954578,0.123358734950979,0.0904529187335072,1.07399985858173,0.333448479954358,-0.876115621240142,1.42223144248663,0.709638157876552,0.0496921732718061,0.891395803381904,0.129301470926685,-0.699151732153663,0.136644916610086,0.74195084082522,0.0813044257308801,0.878597286042443,0.149684307773291,0.704800136680729,0.0510383428927753,0.97244852811183,0.0583994413794825,0.664418827443976,65.1632718638345,0.215407847288733,5.02274825170444,0.401032106769582,8.4907007955763,-0.618200807053214,1.86330763858575,0.278476107103858,17.8743391486231,0.480361398668703,21.2897158271312,0.49362701592162,18.9543662516055,-0.0185288746183883,56.5551765977262,-0.692994970650295,3.42461676688064,1.06546896290191,571.24895798592,-1.63671368498525,0.0104938680604076,-1.13655429309091,37.7569620115765,-0.844111462577134,4.49755489127148
"Duguetia_hadrantha",-1.43480315757313,0.025548654124984,0.868315367304544,0.0498253361727117,0.557193409647334,0.380922328812239,0.798793880310473,1.10828009169507,-0.841743387692957,2.99772910212919,0.784601168967491,0.310695075183876,0.697162894646694,0.37482029136283,-0.431995558429635,0.672120920566422,0.707524910702124,0.0678727609521535,0.765606017031545,0.0576595767817102,0.604880093734229,0.0546278038881373,0.906584301653324,0.0590777739274766,0.270479871361469,58.278918072204,0.0288960459753363,7.95167697197683,-0.219278788887923,6.82329038416706,-0.0895854768591375,4.26190531975933,0.182517207553543,21.6549647887038,-0.197376457479142,22.8895673106039,0.301863666250926,25.0054160799882,-0.612294160813739,20.3024013358026,-0.654097130984265,20.2303145057115,0.56143690114475,721.801248036235,-1.43855106948032,0.0736522229084573,-1.05207869721565,143.220383742715,-0.710255543523131,30.0481384614754
"Duguetia_macrophylla",-0.735599837880135,0.0572131172754248,1.08169161257991,0.201289976740125,-0.0730022354781851,0.546829059795387,1.45132718938417,2.22358680548563,-0.939353883055828,0.80775210673141,0.822920182184274,0.412950775612298,1.09651124413421,0.0650545036135264,-0.885039355805805,0.347896271998735,0.871903556115555,0.0815531403442119,1.0547627737221,0.292977916864717,0.880568340170047,0.165934502810893,1.09545096216381,0.212839561931305,1.48502417187445,173.241161390704,0.442902062343638,35.3553390593274,2.79253812764083,20.5060966544099,-1.45623707018087,0.139270720568998,0.622461663963626,79.5495128834866,2.53642772824053,64.3467170879758,0.526309475927098,42.7799602617861,1.47496713319031,109.247997693322,-0.862247308125037,4.59619407771256,1.73231615042043,354.614050765054,-1.35039422811216,0.0446655863247551,-0.979638767221728,413.333261297092,-0.634220033948136,46.6690475583121
